SaleOrder Key,CustomerKey,Date,Sales Amount
SO43779,25252,7/10/2017,699.10
SO43780,11599,7/11/2017,3578.27
SO43781,16495,7/11/2017,3578.27
SO43782,16516,7/11/2017,3578.27
SO43783,16620,7/11/2017,3578.27
SO43784,27667,7/12/2017,3578.27
SO43785,11601,7/12/2017,3578.27
SO43786,11607,7/12/2017,3578.27
SO43787,29385,7/12/2017,3399.99
SO43788,11239,7/12/2017,3374.99
SO43789,25865,7/12/2017,3374.99
SO43790,25857,7/12/2017,3399.99
SO43791,16484,7/12/2017,3578.27
SO43792,16623,7/12/2017,3578.27
SO43793,11000,7/12/2017,3399.99
SO43794,11029,7/12/2017,3399.99
SO43795,27615,7/13/2017,3578.27
SO43796,17956,7/13/2017,699.10
SO43797,16345,7/13/2017,3578.27
SO43798,16521,7/13/2017,3578.27
SO43799,16636,7/13/2017,3578.27
SO43800,21710,7/13/2017,3578.27
SO43801,13583,7/13/2017,3578.27
SO43802,11593,7/13/2017,3578.27
SO43803,21741,7/14/2017,3578.27
SO43804,13585,7/14/2017,3578.27
SO43805,14510,7/14/2017,699.10
SO43806,16523,7/14/2017,3578.27
SO43807,11611,7/14/2017,3578.27
SO43808,13259,7/14/2017,3578.27
SO43809,16350,7/14/2017,3578.27
SO43810,11004,7/14/2017,3399.99
SO43811,11026,7/14/2017,3399.99
SO43812,27662,7/15/2017,3578.27
SO43813,28390,7/15/2017,3374.99
SO43814,25866,7/15/2017,3374.99
SO43815,16494,7/15/2017,3578.27
SO43816,16496,7/15/2017,3578.27
SO43817,16519,7/15/2017,3578.27
SO43818,16528,7/15/2017,3578.27
SO43819,11006,7/15/2017,3399.99
SO43820,27651,7/15/2017,3578.27
SO43821,27663,7/15/2017,3578.27
SO43822,27669,7/15/2017,3578.27
SO43823,19942,7/15/2017,699.10
SO43824,14558,7/15/2017,699.10
SO43825,16349,7/15/2017,3578.27
SO43826,11008,7/15/2017,3374.99
SO43827,25250,7/15/2017,699.10
SO43828,27605,7/16/2017,3578.27
SO43829,27611,7/16/2017,3578.27
SO43830,16347,7/16/2017,3578.27
SO43831,11028,7/16/2017,3374.99
SO43832,13584,7/16/2017,3578.27
SO43833,21727,7/16/2017,3578.27
SO43834,28393,7/16/2017,3374.99
SO43835,19802,7/16/2017,3374.99
SO43836,26620,7/16/2017,699.10
SO43837,11009,7/16/2017,3374.99
SO43838,27641,7/17/2017,3578.27
SO43839,27673,7/17/2017,3578.27
SO43840,17957,7/17/2017,699.10
SO43841,13406,7/17/2017,3578.27
SO43842,16630,7/17/2017,3578.27
SO43918,22041,7/17/2017,3578.27
SO43919,12124,7/17/2017,3578.27
SO43920,28066,7/17/2017,3578.27
SO43921,16743,7/17/2017,3578.27
SO43922,13546,7/17/2017,3578.27
SO43923,28018,7/18/2017,3578.27
SO43924,12132,7/18/2017,3578.27
SO43925,16661,7/18/2017,3578.27
SO43926,11055,7/18/2017,3374.99
SO43927,16662,7/18/2017,3578.27
SO43928,16740,7/18/2017,3578.27
SO43929,25270,7/18/2017,699.10
SO43930,28038,7/19/2017,3578.27
SO43931,13548,7/19/2017,3578.27
SO43932,16741,7/19/2017,3578.27
SO43933,11031,7/19/2017,3399.99
SO43934,11034,7/19/2017,3399.99
SO43935,20048,7/19/2017,699.10
SO43936,28065,7/19/2017,3578.27
SO43937,17047,7/19/2017,3578.27
SO43938,16686,7/19/2017,3578.27
SO43939,16659,7/19/2017,3578.27
SO43940,25294,7/19/2017,699.10
SO43941,13600,7/20/2017,3578.27
SO43942,17051,7/20/2017,3578.27
SO43943,14565,7/20/2017,699.10
SO43944,11054,7/20/2017,3399.99
SO43945,16675,7/20/2017,3578.27
SO43946,16687,7/20/2017,3578.27
SO43947,16712,7/20/2017,3578.27
SO43948,11047,7/20/2017,3399.99
SO43949,27726,7/20/2017,3578.27
SO43950,28014,7/20/2017,3578.27
SO43951,16696,7/20/2017,3578.27
SO43952,16639,7/20/2017,3578.27
SO43953,20049,7/21/2017,699.10
SO43954,13602,7/21/2017,3578.27
SO43955,13661,7/21/2017,3578.27
SO43956,11030,7/21/2017,3399.99
SO43957,28068,7/21/2017,3578.27
SO43958,16658,7/21/2017,3578.27
SO43959,11035,7/21/2017,3374.99
SO43960,11046,7/21/2017,3374.99
SO43961,28031,7/22/2017,3578.27
SO43962,28076,7/22/2017,3578.27
SO43963,16685,7/22/2017,3578.27
SO43964,16745,7/22/2017,3578.27
SO43965,11038,7/22/2017,3374.99
SO43966,11039,7/22/2017,3399.99
SO43967,28040,7/22/2017,3578.27
SO43968,28067,7/22/2017,3578.27
SO43969,28071,7/22/2017,3578.27
SO43970,16684,7/22/2017,3578.27
SO43971,16657,7/22/2017,3578.27
SO43972,21939,7/23/2017,3578.27
SO43973,28039,7/23/2017,3578.27
SO43974,13687,7/23/2017,3578.27
SO43975,13540,7/23/2017,3578.27
SO43976,28063,7/23/2017,3578.27
SO43977,16703,7/23/2017,3578.27
SO43978,28030,7/23/2017,3578.27
SO43979,14576,7/23/2017,699.10
SO43980,11048,7/23/2017,3374.99
SO43981,16664,7/23/2017,3578.27
SO43982,25271,7/23/2017,699.10
SO43983,28017,7/24/2017,3578.27
SO43984,13545,7/24/2017,3578.27
SO43985,13515,7/24/2017,3578.27
SO43986,28070,7/24/2017,3578.27
SO43987,28042,7/24/2017,3578.27
SO43988,11244,7/24/2017,3399.99
SO43989,28083,7/24/2017,3578.27
SO43990,25872,7/24/2017,3399.99
SO43991,16660,7/24/2017,3578.27
SO43992,16638,7/24/2017,3578.27
SO43993,16929,7/25/2017,3578.27
SO43994,27681,7/25/2017,3578.27
SO43995,21813,7/25/2017,3578.27
SO43996,27920,7/25/2017,3578.27
SO43997,28022,7/25/2017,3578.27
SO43998,11033,7/25/2017,3374.99
SO43999,28047,7/25/2017,3578.27
SO44000,27918,7/26/2017,3578.27
SO44001,28044,7/26/2017,3578.27
SO44002,14572,7/26/2017,699.10
SO44003,19325,7/26/2017,699.10
SO44004,28061,7/26/2017,3578.27
SO44005,26629,7/26/2017,699.10
SO44006,16744,7/26/2017,3578.27
SO44007,25555,7/26/2017,699.10
SO44008,27678,7/26/2017,3578.27
SO44009,27759,7/26/2017,3578.27
SO44010,13680,7/26/2017,3578.27
SO44011,13514,7/26/2017,3578.27
SO44012,11052,7/26/2017,3374.99
SO44013,16928,7/26/2017,3578.27
SO44014,27917,7/27/2017,3578.27
SO44015,13693,7/27/2017,3578.27
SO44016,11247,7/27/2017,3374.99
SO44017,28078,7/27/2017,3578.27
SO44018,25876,7/27/2017,3374.99
SO44019,16701,7/27/2017,3578.27
SO44020,16931,7/27/2017,3578.27
SO44021,11032,7/27/2017,3374.99
SO44022,22008,7/28/2017,3578.27
SO44023,19830,7/28/2017,3374.99
SO44024,16663,7/28/2017,3578.27
SO44025,16708,7/28/2017,3578.27
SO44026,17045,7/28/2017,3578.27
SO44027,21921,7/28/2017,3578.27
SO44028,17048,7/28/2017,3578.27
SO44029,11050,7/28/2017,3374.99
SO44030,12131,7/29/2017,3578.27
SO44031,13689,7/29/2017,3578.27
SO44032,11243,7/29/2017,3399.99
SO44033,16693,7/29/2017,3578.27
SO44034,16702,7/29/2017,3578.27
SO44035,16707,7/29/2017,3578.27
SO44036,17046,7/29/2017,3578.27
SO44037,25272,7/29/2017,699.10
SO44038,25868,7/29/2017,3399.99
SO44039,17971,7/29/2017,699.10
SO44040,11057,7/29/2017,3374.99
SO44041,16742,7/29/2017,3578.27
SO44042,13678,7/30/2017,3578.27
SO44043,13679,7/30/2017,3578.27
SO44044,13690,7/30/2017,3578.27
SO44045,28394,7/30/2017,3399.99
SO44046,28064,7/30/2017,3578.27
SO44047,25878,7/30/2017,3399.99
SO44048,16713,7/30/2017,3578.27
SO44049,13538,7/30/2017,3578.27
SO44050,17050,7/30/2017,3578.27
SO44051,13691,7/31/2017,3578.27
SO44052,16637,7/31/2017,3578.27
SO44053,19329,7/31/2017,699.10
SO44054,13542,7/31/2017,3578.27
SO44055,13543,7/31/2017,3578.27
SO44056,13559,7/31/2017,3578.27
SO44057,14577,7/31/2017,699.10
SO44058,11056,7/31/2017,3374.99
SO44059,16688,7/31/2017,3578.27
SO44060,25273,7/31/2017,699.10
SO44061,27919,8/1/2017,3578.27
SO44062,28041,8/1/2017,3578.27
SO44063,11240,8/1/2017,3399.99
SO44064,22050,8/1/2017,3578.27
SO44065,28062,8/1/2017,3578.27
SO44066,25867,8/1/2017,3399.99
SO44067,17049,8/1/2017,3578.27
SO44068,13541,8/2/2017,3578.27
SO44069,28395,8/2/2017,3374.99
SO44070,19829,8/2/2017,3374.99
SO44071,16691,8/2/2017,3578.27
SO44072,16656,8/2/2017,3578.27
SO44073,11044,8/2/2017,3374.99
SO44134,13821,8/3/2017,3578.27
SO44135,28156,8/3/2017,3578.27
SO44136,22114,8/3/2017,3578.27
SO44137,17328,8/3/2017,3578.27
SO44138,13765,8/4/2017,3578.27
SO44139,13792,8/4/2017,3578.27
SO44140,12221,8/4/2017,3578.27
SO44141,13572,8/4/2017,3578.27
SO44142,22058,8/4/2017,3578.27
SO44143,28145,8/4/2017,3578.27
SO44144,17071,8/4/2017,3578.27
SO44145,17309,8/4/2017,3578.27
SO44146,17310,8/4/2017,3578.27
SO44147,17320,8/4/2017,3578.27
SO44148,28172,8/5/2017,3578.27
SO44149,17242,8/5/2017,3578.27
SO44150,17315,8/5/2017,3578.27
SO44151,25558,8/5/2017,699.10
SO44152,11334,8/6/2017,3399.99
SO44153,28168,8/6/2017,3578.27
SO44154,28181,8/6/2017,3578.27
SO44155,28131,8/6/2017,3578.27
SO44156,25887,8/6/2017,3399.99
SO44157,17055,8/6/2017,3578.27
SO44158,13567,8/7/2017,3578.27
SO44159,28182,8/7/2017,3578.27
SO44160,28186,8/7/2017,3578.27
SO44161,13772,8/8/2017,3578.27
SO44162,28185,8/8/2017,3578.27
SO44163,28193,8/8/2017,3578.27
SO44164,28088,8/8/2017,3578.27
SO44165,17065,8/8/2017,3578.27
SO44166,14581,8/8/2017,699.10
SO44167,17308,8/8/2017,3578.27
SO44168,12211,8/9/2017,3578.27
SO44169,28179,8/9/2017,3578.27
SO44170,28183,8/9/2017,3578.27
SO44171,28112,8/9/2017,3578.27
SO44172,14584,8/9/2017,699.10
SO44173,13784,8/10/2017,3578.27
SO44174,17229,8/10/2017,3578.27
SO44175,17246,8/10/2017,3578.27
SO44176,12220,8/11/2017,3578.27
SO44177,11337,8/11/2017,3374.99
SO44178,28097,8/11/2017,3578.27
SO44179,25888,8/11/2017,3374.99
SO44180,11058,8/11/2017,3399.99
SO44181,17294,8/11/2017,3578.27
SO44182,17299,8/11/2017,3578.27
SO44183,28158,8/12/2017,3578.27
SO44184,17247,8/12/2017,3578.27
SO44185,17280,8/12/2017,3578.27
SO44186,25889,8/13/2017,3399.99
SO44187,17069,8/13/2017,3578.27
SO44188,20052,8/14/2017,699.10
SO44189,20054,8/14/2017,699.10
SO44190,11061,8/14/2017,3374.99
SO44191,17248,8/14/2017,3578.27
SO44192,13570,8/15/2017,3578.27
SO44193,28164,8/15/2017,3578.27
SO44194,17064,8/15/2017,3578.27
SO44195,17249,8/15/2017,3578.27
SO44196,17295,8/15/2017,3578.27
SO44197,28096,8/16/2017,3578.27
SO44198,28150,8/16/2017,3578.27
SO44199,17259,8/16/2017,3578.27
SO44200,17312,8/16/2017,3578.27
SO44201,12254,8/17/2017,3578.27
SO44202,28159,8/17/2017,3578.27
SO44203,28149,8/17/2017,3578.27
SO44204,14580,8/17/2017,699.10
SO44205,17285,8/17/2017,3578.27
SO44206,11250,8/18/2017,3399.99
SO44207,28162,8/18/2017,3578.27
SO44208,25879,8/18/2017,3399.99
SO44209,17257,8/18/2017,3578.27
SO44210,13783,8/19/2017,3578.27
SO44211,28154,8/19/2017,3578.27
SO44212,28170,8/19/2017,3578.27
SO44213,17351,8/19/2017,3578.27
SO44214,17332,8/19/2017,3578.27
SO44215,28180,8/20/2017,3578.27
SO44216,13560,8/20/2017,3578.27
SO44217,28148,8/20/2017,3578.27
SO44218,22109,8/20/2017,3578.27
SO44219,14590,8/20/2017,699.10
SO44220,11060,8/20/2017,3399.99
SO44221,17255,8/20/2017,3578.27
SO44222,17258,8/20/2017,3578.27
SO44223,13847,8/21/2017,3578.27
SO44224,28166,8/21/2017,3578.27
SO44225,20060,8/22/2017,699.10
SO44226,12255,8/22/2017,3578.27
SO44227,28401,8/22/2017,3374.99
SO44228,11333,8/22/2017,3399.99
SO44229,25886,8/22/2017,3399.99
SO44230,17241,8/22/2017,3578.27
SO44231,17973,8/22/2017,699.10
SO44232,17334,8/22/2017,3578.27
SO44233,13841,8/23/2017,3578.27
SO44234,28184,8/23/2017,3578.27
SO44235,22117,8/23/2017,3578.27
SO44236,28191,8/23/2017,3578.27
SO44237,17056,8/23/2017,3578.27
SO44238,17079,8/23/2017,3578.27
SO44239,12217,8/24/2017,3578.27
SO44240,13580,8/24/2017,3578.27
SO44241,28155,8/24/2017,3578.27
SO44242,28163,8/24/2017,3578.27
SO44243,17278,8/24/2017,3578.27
SO44244,17329,8/24/2017,3578.27
SO44245,25556,8/24/2017,699.10
SO44246,12219,8/25/2017,3578.27
SO44247,17233,8/25/2017,3578.27
SO44248,17240,8/25/2017,3578.27
SO44249,13845,8/26/2017,3578.27
SO44250,28167,8/26/2017,3578.27
SO44251,28190,8/26/2017,3578.27
SO44252,13777,8/27/2017,3578.27
SO44253,28099,8/27/2017,3578.27
SO44254,28142,8/27/2017,3578.27
SO44255,14585,8/27/2017,699.10
SO44256,17232,8/27/2017,3578.27
SO44257,12212,8/28/2017,3578.27
SO44258,13579,8/28/2017,3578.27
SO44259,28171,8/28/2017,3578.27
SO44260,28194,8/28/2017,3578.27
SO44261,22112,8/28/2017,3578.27
SO44262,20149,8/28/2017,699.10
SO44263,17279,8/28/2017,3578.27
SO44264,17286,8/28/2017,3578.27
SO44265,25557,8/28/2017,699.10
SO44266,25559,8/28/2017,699.10
SO44267,19339,8/29/2017,699.10
SO44268,13820,8/29/2017,3578.27
SO44269,14589,8/30/2017,699.10
SO44270,13794,8/31/2017,3578.27
SO44271,13846,8/31/2017,3578.27
SO44272,12256,8/31/2017,3578.27
SO44273,28147,8/31/2017,3578.27
SO44274,28152,8/31/2017,3578.27
SO44275,17256,8/31/2017,3578.27
SO44276,17277,8/31/2017,3578.27
SO44277,17288,8/31/2017,3578.27
SO44278,17293,8/31/2017,3578.27
SO44279,17326,8/31/2017,3578.27
SO44320,14429,9/1/2017,3578.27
SO44321,28222,9/1/2017,3578.27
SO44322,17975,9/1/2017,699.10
SO44323,11072,9/1/2017,3399.99
SO44324,12267,9/2/2017,3578.27
SO44325,11095,9/2/2017,3374.99
SO44326,17728,9/2/2017,3578.27
SO44327,28598,9/3/2017,3578.27
SO44328,17921,9/3/2017,3578.27
SO44329,17904,9/3/2017,3578.27
SO44330,28199,9/3/2017,3578.27
SO44331,28257,9/4/2017,3578.27
SO44332,17510,9/4/2017,3578.27
SO44333,11343,9/5/2017,3399.99
SO44334,28273,9/5/2017,3578.27
SO44335,20165,9/5/2017,699.10
SO44336,25895,9/5/2017,3399.99
SO44337,11097,9/5/2017,3374.99
SO44338,18188,9/5/2017,3578.27
SO44339,18189,9/5/2017,3578.27
SO44340,17354,9/5/2017,3578.27
SO44341,25905,9/6/2017,3374.99
SO44342,14610,9/6/2017,699.10
SO44343,17920,9/6/2017,3578.27
SO44344,14427,9/7/2017,3578.27
SO44345,28200,9/7/2017,3578.27
SO44346,14602,9/7/2017,699.10
SO44347,17911,9/7/2017,3578.27
SO44348,14159,9/8/2017,3578.27
SO44349,28243,9/8/2017,3578.27
SO44350,28244,9/8/2017,3578.27
SO44351,28271,9/8/2017,3578.27
SO44352,28297,9/8/2017,3578.27
SO44353,14591,9/8/2017,699.10
SO44354,14603,9/8/2017,699.10
SO44355,11093,9/8/2017,3399.99
SO44356,11099,9/8/2017,3399.99
SO44357,17511,9/8/2017,3578.27
SO44358,17732,9/8/2017,3578.27
SO44359,14525,9/9/2017,3578.27
SO44360,14158,9/9/2017,3578.27
SO44361,13686,9/9/2017,3578.27
SO44362,28259,9/9/2017,3578.27
SO44363,28285,9/9/2017,3578.27
SO44364,11092,9/9/2017,3374.99
SO44365,17912,9/9/2017,3578.27
SO44366,17502,9/9/2017,3578.27
SO44367,25562,9/9/2017,699.10
SO44368,14150,9/10/2017,3578.27
SO44369,28250,9/10/2017,3578.27
SO44370,18193,9/10/2017,3578.27
SO44371,17514,9/10/2017,3578.27
SO44372,17736,9/10/2017,3578.27
SO44373,13767,9/11/2017,3578.27
SO44374,14157,9/11/2017,3578.27
SO44375,14183,9/11/2017,3578.27
SO44376,29399,9/11/2017,3374.99
SO44377,28234,9/11/2017,3578.27
SO44378,25903,9/11/2017,3374.99
SO44379,11080,9/11/2017,3374.99
SO44380,17915,9/11/2017,3578.27
SO44381,14191,9/12/2017,3578.27
SO44382,11341,9/12/2017,3399.99
SO44383,28268,9/12/2017,3578.27
SO44384,28296,9/12/2017,3578.27
SO44385,28298,9/12/2017,3578.27
SO44386,28587,9/12/2017,3578.27
SO44387,11096,9/12/2017,3374.99
SO44388,17924,9/12/2017,3578.27
SO44389,17925,9/12/2017,3578.27
SO44390,17353,9/12/2017,3578.27
SO44391,17730,9/12/2017,3578.27
SO44392,17910,9/12/2017,3578.27
SO44393,29398,9/13/2017,3399.99
SO44394,28246,9/13/2017,3578.27
SO44395,28339,9/13/2017,3578.27
SO44396,25901,9/13/2017,3399.99
SO44397,14596,9/13/2017,699.10
SO44398,17733,9/13/2017,3578.27
SO44399,28240,9/14/2017,3578.27
SO44400,28588,9/14/2017,3578.27
SO44401,17515,9/14/2017,3578.27
SO44402,13666,9/15/2017,3578.27
SO44403,19844,9/15/2017,3374.99
SO44404,28221,9/16/2017,3578.27
SO44405,28224,9/16/2017,3578.27
SO44406,28299,9/16/2017,3578.27
SO44407,11077,9/16/2017,3374.99
SO44408,11103,9/16/2017,3374.99
SO44409,25563,9/16/2017,699.10
SO44410,28223,9/17/2017,3578.27
SO44411,28584,9/17/2017,3578.27
SO44412,11100,9/17/2017,3374.99
SO44413,13606,9/18/2017,3578.27
SO44414,28340,9/18/2017,3578.27
SO44415,28355,9/18/2017,3578.27
SO44416,11069,9/18/2017,3399.99
SO44417,17917,9/18/2017,3578.27
SO44418,17919,9/18/2017,3578.27
SO44419,17352,9/18/2017,3578.27
SO44420,17512,9/18/2017,3578.27
SO44421,13607,9/19/2017,3578.27
SO44422,19353,9/19/2017,699.10
SO44423,28586,9/19/2017,3578.27
SO44424,17916,9/19/2017,3578.27
SO44425,17504,9/19/2017,3578.27
SO44426,13770,9/20/2017,3578.27
SO44427,14146,9/20/2017,3578.27
SO44428,28362,9/20/2017,3578.27
SO44429,28583,9/20/2017,3578.27
SO44430,17927,9/20/2017,3578.27
SO44431,17725,9/20/2017,3578.27
SO44432,14165,9/21/2017,3578.27
SO44433,28270,9/21/2017,3578.27
SO44434,28580,9/21/2017,3578.27
SO44435,28573,9/22/2017,3578.27
SO44436,26630,9/22/2017,699.10
SO44437,11076,9/22/2017,3399.99
SO44438,17909,9/22/2017,3578.27
SO44439,14195,9/23/2017,3578.27
SO44440,12261,9/23/2017,3578.27
SO44441,22118,9/23/2017,3578.27
SO44442,14599,9/23/2017,699.10
SO44443,17370,9/23/2017,3578.27
SO44444,13697,9/24/2017,3578.27
SO44445,17478,9/25/2017,3578.27
SO44446,17914,9/25/2017,3578.27
SO44447,12265,9/26/2017,3578.27
SO44448,28264,9/26/2017,3578.27
SO44449,28293,9/26/2017,3578.27
SO44450,28294,9/26/2017,3578.27
SO44451,28295,9/26/2017,3578.27
SO44452,20164,9/26/2017,699.10
SO44453,17923,9/26/2017,3578.27
SO44454,17926,9/26/2017,3578.27
SO44455,17513,9/26/2017,3578.27
SO44456,25560,9/26/2017,699.10
SO44457,28196,9/27/2017,3578.27
SO44458,28247,9/27/2017,3578.27
SO44459,28288,9/27/2017,3578.27
SO44460,20150,9/27/2017,699.10
SO44461,17918,9/27/2017,3578.27
SO44462,14155,9/28/2017,3578.27
SO44463,19340,9/28/2017,699.10
SO44464,22120,9/28/2017,3578.27
SO44465,14613,9/28/2017,699.10
SO44466,26640,9/28/2017,699.10
SO44467,11070,9/28/2017,3399.99
SO44468,11075,9/28/2017,3374.99
SO44469,17734,9/28/2017,3578.27
SO44470,17735,9/28/2017,3578.27
SO44471,25561,9/28/2017,699.10
SO44472,13685,9/29/2017,3578.27
SO44473,28255,9/29/2017,3578.27
SO44474,14601,9/29/2017,699.10
SO44475,11101,9/29/2017,3399.99
SO44476,17913,9/29/2017,3578.27
SO44477,17922,9/29/2017,3578.27
SO44478,17726,9/29/2017,3578.27
SO44479,29391,9/30/2017,3374.99
SO44480,25891,9/30/2017,3374.99
SO44571,29448,10/1/2017,3399.99
SO44572,28664,10/1/2017,3578.27
SO44573,25917,10/1/2017,3399.99
SO44574,11107,10/1/2017,3374.99
SO44575,11110,10/1/2017,3399.99
SO44576,28660,10/1/2017,3578.27
SO44577,28667,10/2/2017,3578.27
SO44578,28653,10/2/2017,3578.27
SO44579,28662,10/2/2017,3578.27
SO44580,13782,10/3/2017,3578.27
SO44581,11108,10/3/2017,3374.99
SO44582,11134,10/3/2017,3399.99
SO44583,18210,10/3/2017,3578.27
SO44584,28671,10/4/2017,3578.27
SO44585,28790,10/4/2017,3578.27
SO44586,28794,10/4/2017,3578.27
SO44587,28627,10/4/2017,3578.27
SO44588,26683,10/4/2017,699.10
SO44589,11104,10/4/2017,3399.99
SO44590,13795,10/5/2017,3578.27
SO44591,17987,10/5/2017,699.10
SO44592,28761,10/5/2017,3578.27
SO44593,28645,10/5/2017,3578.27
SO44594,18250,10/5/2017,3578.27
SO44595,11124,10/5/2017,3399.99
SO44596,18238,10/5/2017,3578.27
SO44597,12290,10/6/2017,3578.27
SO44598,29400,10/6/2017,3374.99
SO44599,28792,10/6/2017,3578.27
SO44600,18243,10/6/2017,3578.27
SO44601,11117,10/6/2017,3399.99
SO44602,14702,10/7/2017,3578.27
SO44603,20167,10/7/2017,699.10
SO44604,19364,10/7/2017,699.10
SO44605,28672,10/7/2017,3578.27
SO44606,28772,10/7/2017,3578.27
SO44607,28774,10/7/2017,3578.27
SO44608,18200,10/7/2017,3578.27
SO44609,18220,10/7/2017,3578.27
SO44610,18241,10/7/2017,3578.27
SO44611,13778,10/8/2017,3578.27
SO44612,28675,10/8/2017,3578.27
SO44613,28628,10/8/2017,3578.27
SO44614,28650,10/8/2017,3578.27
SO44615,28654,10/8/2017,3578.27
SO44616,28655,10/8/2017,3578.27
SO44617,28666,10/8/2017,3578.27
SO44618,18205,10/8/2017,3578.27
SO44619,13789,10/9/2017,3578.27
SO44620,18204,10/9/2017,3578.27
SO44621,18217,10/9/2017,3578.27
SO44622,13771,10/9/2017,3578.27
SO44623,12301,10/10/2017,3578.27
SO44624,19357,10/10/2017,699.10
SO44625,28658,10/10/2017,3578.27
SO44626,18272,10/10/2017,3578.27
SO44627,11109,10/10/2017,3374.99
SO44628,11356,10/10/2017,3374.99
SO44629,18209,10/10/2017,3578.27
SO44630,28765,10/11/2017,3578.27
SO44631,28629,10/11/2017,3578.27
SO44632,18196,10/11/2017,3578.27
SO44633,18203,10/11/2017,3578.27
SO44634,18213,10/11/2017,3578.27
SO44635,18218,10/11/2017,3578.27
SO44636,14705,10/12/2017,3578.27
SO44637,28644,10/12/2017,3578.27
SO44638,28651,10/12/2017,3578.27
SO44639,14617,10/12/2017,699.10
SO44640,18246,10/12/2017,3578.27
SO44641,18255,10/12/2017,3578.27
SO44642,25567,10/12/2017,699.10
SO44643,12280,10/13/2017,3578.27
SO44644,12279,10/13/2017,3578.27
SO44645,11344,10/13/2017,3399.99
SO44646,29449,10/13/2017,3399.99
SO44647,28770,10/13/2017,3578.27
SO44648,25916,10/13/2017,3399.99
SO44649,25924,10/13/2017,3399.99
SO44650,11147,10/13/2017,3374.99
SO44651,14720,10/14/2017,3578.27
SO44652,28407,10/14/2017,3374.99
SO44653,20170,10/14/2017,699.10
SO44654,28619,10/14/2017,3578.27
SO44655,11105,10/14/2017,3399.99
SO44656,18275,10/14/2017,3578.27
SO44657,11120,10/14/2017,3374.99
SO44658,18201,10/14/2017,3578.27
SO44659,18208,10/14/2017,3578.27
SO44660,28775,10/15/2017,3578.27
SO44661,14639,10/15/2017,699.10
SO44662,11151,10/15/2017,3374.99
